uberon_id	xref
UBERON:0002059	BTO:0001318
UBERON:0002060	BTO:0001624
UBERON:0002064	BTO:0004388
UBERON:0002065	BTO:0004386
UBERON:0002066	BTO:0001509
UBERON:0002067	BTO:0000294
UBERON:0002069	BTO:0000361
UBERON:0002071	BTO:0000364
UBERON:0002072	BTO:0001314
UBERON:0002073	BTO:0000554
UBERON:0002074	BTO:0004672
UBERON:0002075	BTO:0001491
UBERON:0002078	BTO:0001703
UBERON:0002079	BTO:0001702
UBERON:0002080	BTO:0001630
UBERON:0002081	BTO:0000903
UBERON:0002082	BTO:0000862
UBERON:0002084	BTO:0001629
UBERON:0002094	BTO:0002483
UBERON:0002095	BTO:0001380
UBERON:0002097	BTO:0001253
UBERON:0002100	BTO:0001493
UBERON:0002102	BTO:0001729
UBERON:0002103	BTO:0002345
UBERON:0002106	BTO:0001281
UBERON:0002107	BTO:0000759
UBERON:0002108	BTO:0000651
UBERON:0002110	BTO:0000493
UBERON:0002111	BTO:0000087
UBERON:0002113	BTO:0000671
UBERON:0002114	BTO:0000365
UBERON:0002115	BTO:0000657
UBERON:0002116	BTO:0000620
UBERON:0002120	BTO:0001541
UBERON:0002123	BTO:0002934
UBERON:0002124	BTO:0004560
UBERON:0002127	BTO:0002298
UBERON:0002129	BTO:0000043
UBERON:0002132	BTO:0003836
UBERON:0002137	BTO:0004628
UBERON:0002139	BTO:0001820
UBERON:0002148	BTO:0001408
UBERON:0002151	BTO:0003396
UBERON:0002153	BTO:0003839
UBERON:0002162	BTO:0003425
UBERON:0002165	BTO:0000387
UBERON:0002169	BTO:0000061
UBERON:0002185	BTO:0001340
UBERON:0002186	BTO:0002375
UBERON:0002187	BTO:0003223
UBERON:0002188	BTO:0003222
UBERON:0002190	BTO:0004042
UBERON:0002191	BTO:0003087
UBERON:0002196	BTO:0000040
UBERON:0002196	BTO:0000496
UBERON:0002197	BTO:0001954
UBERON:0002198	BTO:0000937
UBERON:0002199	BTO:0000634
UBERON:0002202	BTO:0002115
UBERON:0002222	BTO:0005089
UBERON:0002227	BTO:0001691
UBERON:0002232	BTO:0001697
UBERON:0002236	BTO:0001721
UBERON:0002240	BTO:0001279
UBERON:0002242	BTO:0003626
UBERON:0002247	BTO:0004235
UBERON:0002255	BTO:0002608
UBERON:0002259	BTO:0001710
UBERON:0002260	BTO:0000865
UBERON:0002261	BTO:0000360
UBERON:0002263	BTO:0002250
UBERON:0002264	BTO:0000961
UBERON:0002265	BTO:0003647
UBERON:0002266	BTO:0003649
UBERON:0002267	BTO:0004016
UBERON:0002268	BTO:0001772
UBERON:0002278	BTO:0002083
UBERON:0002282	BTO:0001819
UBERON:0002285	BTO:0000879
UBERON:0002298	BTO:0000146
UBERON:0002299	BTO:0000060
UBERON:0002306	BTO:0003603
UBERON:0002309	BTO:0003951
UBERON:0002313	BTO:0001066
UBERON:0002314	BTO:0001793
UBERON:0002319	BTO:0002494
UBERON:0002323	BTO:0001707
UBERON:0002328	BTO:0001768
UBERON:0002329	BTO:0001558
UBERON:0002331	BTO:0001415
UBERON:0002334	BTO:0004556
UBERON:0002335	BTO:0003940
UBERON:0002336	BTO:0000615
UBERON:0002342	BTO:0001764
UBERON:0002349	BTO:0000901
UBERON:0002351	BTO:0004358
UBERON:0002354	BTO:0001735
UBERON:0002355	BTO:0001006
UBERON:0002358	BTO:0001472
UBERON:0002360	BTO:0000144
UBERON:0002361	BTO:0001635
UBERON:0002362	BTO:0001636
UBERON:0002363	BTO:0001637
UBERON:0002365	BTO:0000765
UBERON:0002366	BTO:0001698
UBERON:0002367	BTO:0001129
UBERON:0002368	BTO:0001488
UBERON:0002369	BTO:0000047
UBERON:0002370	BTO:0001374
UBERON:0002371	BTO:0000141
UBERON:0002371	BTO:0000829
UBERON:0002372	BTO:0001387
UBERON:0002373	BTO:0004714
UBERON:0002376	BTO:0000021
UBERON:0002378	BTO:0001261
UBERON:0002384	BTO:0000421
UBERON:0002386	BTO:0001447
UBERON:0002387	BTO:0000476
UBERON:0002389	BTO:0004669
UBERON:0002390	BTO:0000570
UBERON:0002391	BTO:0000855
UBERON:0002394	BTO:0000122
UBERON:0002395	BTO:0002354
UBERON:0002398	BTO:0004668
UBERON:0002402	BTO:0004422
UBERON:0002407	BTO:0000717
UBERON:0002409	BTO:0001016
UBERON:0002410	BTO:0002507
UBERON:0002411	BTO:0002020
UBERON:0002415	BTO:0001348
UBERON:0002418	BTO:0000206
UBERON:0002420	BTO:0000235
